Five-Year Age Groups Code	Race Code	Hispanic Origin Code	State Code	Gender Code	Deaths	Population
1-4	2106-3	2186-2	48	M	79	269732
1-4	2106-3	2186-2	49	F	20	72991
1-4	2106-3	2186-2	49	M	20	77931
1-4	2054-5	2186-2	51	F	11	44577
1-4	2054-5	2186-2	51	M	24	46000
1-4	2106-3	2186-2	51	F	22	112498
1-4	2106-3	2186-2	51	M	34	118758
1-4	2106-3	2135-2	53	M	11	32939
1-4	2106-3	2186-2	53	F	21	104416
1-4	2106-3	2186-2	53	M	23	110588
1-4	2106-3	2186-2	55	F	16	94817
1-4	2106-3	2186-2	55	M	18	99076
5-9	2054-5	2186-2	1	M	14	47995
5-9	2106-3	2186-2	1	F	13	88068
5-9	2106-3	2186-2	1	M	15	92072
5-9	2106-3	2135-2	4	M	10	92805
5-9	2106-3	2186-2	5	F	11	61911
5-9	2106-3	2186-2	5	M	15	65415
5-9	2106-3	2135-2	6	F	38	594007
5-9	2106-3	2135-2	6	M	60	616172
5-9	A-PI	2186-2	6	F	10	154962
5-9	A-PI	2186-2	6	M	17	163510
5-9	2054-5	2186-2	6	M	16	79339
5-9	2106-3	2186-2	6	F	28	343393
5-9	2106-3	2186-2	6	M	35	361676
5-9	2106-3	2135-2	12	F	14	151905
5-9	2106-3	2135-2	12	M	18	158235
5-9	2054-5	2186-2	12	F	18	121459
5-9	2054-5	2186-2	12	M	30	125417
5-9	2106-3	2186-2	12	F	22	246797
5-9	2106-3	2186-2	12	M	40	258729
5-9	2054-5	2186-2	13	F	18	121613
5-9	2054-5	2186-2	13	M	26	124611
5-9	2106-3	2186-2	13	F	18	156586
5-9	2106-3	2186-2	13	M	24	163781
5-9	2106-3	2135-2	17	M	11	97313
5-9	2054-5	2186-2	17	F	13	66334
5-9	2054-5	2186-2	17	M	12	68139
5-9	2106-3	2186-2	17	F	18	207679
5-9	2106-3	2186-2	17	M	29	217574
5-9	2106-3	2186-2	18	F	12	154335
5-9	2106-3	2186-2	18	M	13	161884
5-9	2106-3	2186-2	19	M	10	83933
5-9	2106-3	2186-2	20	F	15	66994
5-9	2106-3	2186-2	21	F	15	109719
5-9	2106-3	2186-2	21	M	14	115016
5-9	2054-5	2186-2	22	M	17	61026
5-9	2106-3	2186-2	22	F	11	79453
5-9	2106-3	2186-2	22	M	13	83311
5-9	2054-5	2186-2	24	F	15	61582
5-9	2106-3	2186-2	24	M	11	85212
5-9	2106-3	2186-2	25	M	11	124022
5-9	2054-5	2186-2	26	M	15	55559
5-9	2106-3	2186-2	26	F	15	199800
5-9	2106-3	2186-2	26	M	24	209400
5-9	2106-3	2186-2	27	F	14	126016
5-9	2106-3	2186-2	27	M	12	131452
5-9	2106-3	2186-2	28	F	11	49682
5-9	2106-3	2186-2	29	F	22	141168
5-9	2106-3	2186-2	29	M	21	147658
5-9	2106-3	2135-2	34	M	12	60929
5-9	2106-3	2186-2	34	F	11	128623
5-9	2106-3	2135-2	36	F	10	103069
5-9	2106-3	2135-2	36	M	11	108206
5-9	2054-5	2186-2	36	M	15	95373
5-9	2106-3	2186-2	36	F	20	278331
5-9	2106-3	2186-2	36	M	23	291597
5-9	2054-5	2186-2	37	M	11	81036
5-9	2106-3	2186-2	37	F	16	168708
5-9	2106-3	2186-2	37	M	29	177090
5-9	2054-5	2186-2	39	M	12	64301
5-9	2106-3	2186-2	39	F	27	258361
5-9	2106-3	2186-2	39	M	31	270760
5-9	2106-3	2186-2	40	F	10	76072
5-9	2106-3	2186-2	40	M	19	79679
5-9	2106-3	2186-2	42	F	22	249138
5-9	2106-3	2186-2	42	M	24	261681
5-9	2054-5	2186-2	45	M	11	51901
5-9	2106-3	2186-2	45	F	15	83710
5-9	2106-3	2186-2	47	F	18	136158
5-9	2106-3	2186-2	47	M	22	142136
5-9	2106-3	2135-2	48	F	42	466739
5-9	2106-3	2135-2	48	M	64	483399
5-9	2054-5	2186-2	48	F	23	123143
5-9	2054-5	2186-2	48	M	24	127105
5-9	2106-3	2186-2	48	F	30	325623
5-9	2106-3	2186-2	48	M	63	342599
5-9	2106-3	2186-2	49	F	13	97675
5-9	2106-3	2186-2	49	M	10	103708
5-9	2054-5	2186-2	51	F	14	56754
5-9	2054-5	2186-2	51	M	13	58521
5-9	2106-3	2186-2	51	F	13	142066
5-9	2106-3	2186-2	51	M	13	149078
5-9	2106-3	2186-2	53	F	14	133340
5-9	2106-3	2186-2	53	M	17	139835
5-9	2106-3	2186-2	55	M	15	133046
10-14	2106-3	2186-2	1	F	26	92707
10-14	2106-3	2186-2	1	M	17	97238
10-14	2106-3	2186-2	4	M	11	99765
10-14	2106-3	2186-2	5	F	10	63803
10-14	2106-3	2186-2	5	M	13	67351
10-14	2106-3	2135-2	6	F	52	575383
10-14	2106-3	2135-2	6	M	80	592608
10-14	A-PI	2186-2	6	M	21	166418
10-14	2054-5	2186-2	6	M	19	80513
10-14	2106-3	2186-2	6	F	46	356071
10-14	2106-3	2186-2	6	M	39	374139
10-14	2106-3	2186-2	8	M	30	108393
10-14	2106-3	2135-2	12	F	16	149438
10-14	2106-3	2135-2	12	M	23	157089
10-14	2054-5	2186-2	12	F	15	119802
10-14	2054-5	2186-2	12	M	32	122643
